Date/Time,Calling #,Called #,Duration,Amount,Tax,Total,Destination,Extension
06/12/2023 08:33:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
06/10/2023 13:36:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/10/2023 10:19:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 19:50:24,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 18:17:50,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 17:27:18,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 17:17:20,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 16:24:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 14:56:43,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 14:36:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 13:44:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 12:16:00,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 11:28:58,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 11:19:49,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 10:54:34,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/09/2023 10:13:15,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 19:12:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 17:35:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 17:25:20,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 17:02:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 16:47:07,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 15:31:05,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 15:12:01,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 12:29:42,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 12:28:15,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 11:43:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 11:00:19,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 10:50:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 10:50:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 10:36:13,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/08/2023 08:45:00,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 19:45:52,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 17:48:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 17:16:59,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 16:13:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 15:08:34,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 12:53:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 12:46:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 11:21:00,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/07/2023 10:23:21,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 20:03:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 16:50:17,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 14:35:02,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 13:31:54,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 13:13:58,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 12:02:30,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 11:38:40,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 09:54:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 09:02:29,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/06/2023 08:52:22,18885551212,18665551212,2 min,$0.0000,$0.0000,$0.0000,Incoming,100
06/05/2023 17:18:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 17:17:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 14:30:29,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 13:57:16,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
06/05/2023 13:56:33,18885551212,18665551212,0 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
06/05/2023 13:26:22,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 13:03:08,18885551212,18665551212,5 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
06/05/2023 12:52:08,18885551212,18665551212,9 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
06/05/2023 12:18:48,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 11:44:12,18885551212,18665551212,18 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
